ImgId,title,description,categories
B000HYL1V6,TUNGSTEN SOLDER PICK WITH HANDLE,Solder Pick for picking up molten solder when making jewelry,"Arts, Crafts & Sewing"
B00006HXWY,Write Right 98167 Screen Protector for Sony T615C,"We all screen. And we all need to protect those screens on our expensive little gadgetry. Our each is a pack of (12) clear screen protectors, each a generous 2-15/16"" x 2-1/4"" x .004"" thick. They protect from scratches and reduce glare. Made for the Sony Cli, but easy to cut to fit anything with a screen you want to protect. Made in the USA for Fellowes.",Cell Phones & Accessories
B000GAWSBS,Casio Mens DBC310-1 Databank 300 Digital Watch (Discontinued by Manufacturer),"Bringing you precision at a glance, the Casio Men's Databank Digital Watch #DBC310-1 features a blue-tone digital dial face with a durable mineral dial window. An auto-calendar displays the date and month. Other details that will keep you in control include a 150-page databank, an 8-digit calculator, a daily alarm, and a stopwatch function. To ensure easy wear, the light gray resin band is accompanied by a sturdy buckle clasp, and both the 30-millimeter case and stationary light gray bezel are made of high-quality resin. Presenting an unsurpassed functionality, this innovative timepiece is designed to accommodate your on-the-go lifestyle.","Clothing, Shoes & Jewelry"
B000040JOL,Factory-Reconditioned DEWALT DW260KR Heavy-Duty 6.2 Amp Screwdriver Kit,Factory-Reconditioned DEWALT DW260KR Heavy-Duty 6.2 Amp Screwdriver Kit,Tools & Home Improvement
B00006IB78,Energizer 2 in 1 Light,"This twoway light features a bright flashlight beam and adjustable, heavyduty rubber casing sides that create a 360degrees lighting area. The light can be hung from a cord (included) or set on a flat surface. Includes four AAsize batteries. Manufacturers lifetime warranty on materials and workmanship.",Health & Personal Care
B000V9KD70,Ducky Money Savings Bank,"This adorable ducky makes the perfect gift for children. Large enough to hold lots of coins and you don't have to worry about them breaking it. Made of a hard vinyl. Measures 6""H x 6""W. Stopper on bottom twists on/off. Money slot on top of the back of the duck's head.",Baby Products
B000YOUIN6,Lilypadz Reuseable Nursing Pads,"Lilypadz are the revolutionary alternative to traditional nursing pads combining such unique features as flexibility, breathability, invisibility and ""sticks-to-you-ability"" to provide the kind of leakage protection that every expectant and nursing mother needs. Put that nursing bra away - you can wear lilypadz without it. Return to activities you thought you couldn't enjoy while nursing - swimming, a leak-free night's sleep, a night on the town in a strapless dress.",Baby Products
B000EIEWCU,Inglesina Twin Swift,Light weight double stroller that is perfect for travel,Baby
B0000CAQ0S,Eastman Outdoors 37206 Outdoor Gourmet 18-Inch Carbon Steel Wok,"Eastman Outdoors offers High-Quality cooking products that outdoor chefs are hungering for.  Products developed are done in connection with leading chefs to adapt professional-grade equipment for outdoor cooking:  equipment that's ideal for backyard get-togethers, tailgating and camping.  The 18"" wok is made of professional grade carbon steel and is the traditional choice of Asian chefs for deep frying stir frying steaming, boiling or braising.","Patio, Lawn & Garden"
B000FTD1RA,DaVinci Elizabeth II Convertible Toddler Bed in Cherry,"This toddler bed is for your little king or queen. Since it easily converts to a full bed, you can rest assured that you&rsquo;ll have years of royal comfort in the Elizabeth II.",Baby
