"id","createdby","createddate","modifiedby","modifieddate","brand","description","name","price","short_description","thumbnail","unit_in_stock","category_id","brand_id","discount","rating_average"
1,NULL,"2022-03-16 04:59:22.702",NULL,"2022-04-30 09:47:34.463","Apple","Laptop APPLE MacBook Pro 2020 MYD82SA/A có vẻ ngoài cực kỳ sang trọng được kế thừa từ các thế hệ đi trước nhưng bên trong chứa đựng một cấu hình thực sự rất đáng gờm. Sản phẩm Macbook này hứa hẹn sẽ giúp bạn vượt qua mọi công việc hằng ngày ở văn phòng hay cả tại nhà riêng, thích hợp cho mọi người ưa thích sự sáng tạo, luôn tìm tòi những điều mới mẻ trong công việc.","Laptop APPLE MacBook Pro 2020 MYD82SA/A ( 13.3"" Apple M1/8GB/256GB SSD/macOS/1.4kg)",3200000.0,NULL,9440104,100,1,1,0,3.5
2,NULL,"2022-03-16 12:36:45.405",NULL,NULL,"Apple","Laptop APPLE MacBook Pro 2020 MYD82SA/A có vẻ ngoài cực kỳ sang trọng được kế thừa từ các thế hệ đi trước nhưng bên trong chứa đựng một cấu hình thực sự rất đáng gờm. Sản phẩm Macbook này hứa hẹn sẽ giúp bạn vượt qua mọi công việc hằng ngày ở văn phòng hay cả tại nhà riêng, thích hợp cho mọi người ưa thích sự sáng tạo, luôn tìm tòi những điều mới mẻ trong công việc.","Laptop APPLE MacBook Pro 2020 MYD82SA/A ( 13.3"" Apple M1/8GB/256GB SSD/macOS/1.4kg)",31890000.0,"",9410797,50,1,1,NULL,2.0
3,NULL,"2022-03-16 12:38:33.477",NULL,NULL,"Apple","Các dòng sản phẩm của thương hiệu Apple luôn được đánh giá cao về chất lượng cũng như về hình dáng, mẫu mã. Nếu bạn đang cần một chiếc laptop mỏng, nhẹ, nhỏ gọn để tiện mang theo bên mình thì lựa chọn Laptop APPLE MacBook Air 2020 MGN63SA/A là vô cùng hợp lý.","Laptop APPLE MacBook Air 2020 MGN63SA/A ( 13.3"" Apple M1/8GB/256GB SSD/macOS/1.3kg",26500000.0,"",7076279,50,1,1,NULL,NULL
21,NULL,"2022-03-16 13:52:46.427",NULL,NULL,"Asus","Asus ZenBook Duo 14 UX482EG là chiếc laptop của tương lai khi bạn được làm việc cùng lúc trên hai màn hình độc đáo, tràn đầy năng lượng với cấu hình đỉnh cao, thúc đẩy niềm đam mê sáng tạo bằng những tinh hoa của công nghệ.","Laptop ASUS Zenbook UX482EG-KA166T ( 14"" Full HD/Intel Core i5-1135G7/8GB/512GB SSD/NVIDIA GeForce MX450/Windows 10 Home 64-bit/1.6kg)",34999000.0,"",7094171,50,1,2,NULL,NULL
22,NULL,"2022-03-16 13:53:56.987",NULL,NULL,"Asus","Asus ZenBook Duo 14 UX482EG là chiếc laptop của tương lai khi bạn được làm việc cùng lúc trên hai màn hình độc đáo, tràn đầy năng lượng với cấu hình đỉnh cao, thúc đẩy niềm đam mê sáng tạo bằng những tinh hoa của công nghệ.","Laptop ASUS Zenbook UX482EG-KA166T ( 14"" Full HD/Intel Core i5-1135G7/8GB/512GB SSD/NVIDIA GeForce MX450/Windows 10 Home 64-bit/1.6kg)",34999000.0,"",7094172,50,1,2,NULL,NULL
23,NULL,"2022-03-16 13:58:08.484",NULL,NULL,"MSI","Laptop MSI PS42 Modern 8M-478VN được trang bị bộ vi xử lý Intel® thế hệ mới nhất, bộ nhớ RAM DDR4 và ổ lưu trữ SSD tốc độ cao đem đến khả năng xử lý đa nhiệm một cách nhanh chóng, thời gian khởi động và truy xuất dữ liệu dường như ngay tức thì.","Laptop MSI PS42 Modern 8M-478VN (14"" FHD/i5-8250U/8GB/256GB SSD/UHD 620/Win10/1.2 kg)",20290000.0,"",7094488,50,1,6,NULL,NULL
24,NULL,"2022-03-16 13:59:59.443",NULL,NULL,"MSI","Laptop gaming MSI GS65 Stealth 9SD-1409VN đã định nghĩa lại hoàn toàn cách bạn thường mặc định về một chiếc laptop gaming 15.6-inch. Một thiết kế nhỏ gọn nhờ viền màn hình siêu mỏng cùng với tông màu vàng và đen cao cấp. Lịch lãm, tinh tế, mạnh mẽ - Tất cả đã được chế tác thành một.","Laptop MSI GS65 Stealth 9SD-1409VN (15"" FHD/i5-9300H/8GB/512GB SSD/GTX 1660Ti/Win10/1.9 kg)",32190000.0,"",7094678,50,1,6,NULL,NULL
25,NULL,"2022-03-16 14:09:49.372",NULL,NULL,"Asus","Bàn phím cơ không dây Asus Rog Falchion Red Switch là cái tên mới nhất trong dòng bàn phím gaming của ASUS. Với thiết kế 65%  giúp game thủ có một chiếc bàn phím cơ cực kỳ nhỏ gọn nhưng chất lượng. Bàn phím cơ không dây Asus Rog Falchion Red Switch sở hữu một thiết kế vô cùng độc đáo, với tông màu đen chủ đạo. Hãng còn trang bị thêm cho bàn phím bộ LED RGB vô cùng bắt mắt tạo điểm nhấn mạnh mẽ cho bàn phím.","Bàn phím cơ không dây Asus Rog Falchion Red Switch",3790000.0,"",7095137,50,2,2,NULL,NULL
26,NULL,"2022-03-16 14:10:10.141",NULL,NULL,"Xbox","Loại tay cầm Xbox Series X mới nhất năm 2021 đi kèm USB Receiver hoặc Cáp Type C chính hãng.Có đi kèm USB Receiver hoặc Cáp Type C chính hãng đối với phân loại Tay Series X kèm USB hoặc Tay Series X kèm Cáp Type C.Cải tiến chất liệu so với tay Xbox One S thường.Dùng được trên nhiều thiết bị như Iphone, Ipad, PC, Laptop, Máy chơi game,...","Tay cầm xbox series x bản kèm USB Receiver tay cầm chơi game xbox series x",1649000.0,NULL,7095139,69,5,7,NULL,NULL
27,NULL,"2022-03-16 14:11:56.326",NULL,NULL,"Asus","Bàn phím cơ chơi game ROG Strix Flare RGB Red switch Cherry MX, với biểu tượng tùy chỉnh được chiếu sáng và các phím đa phương tiện chuyên dụng để chơi game. Các switch phím cơ Cherry MX RGB được sản xuất tại Đức mang lại cảm giác cơ học hài hòa nhờ tính năng điều khiển tối ưu – Lựa chọn của các game thủ chuyên nghiệp và những người đam mê","Bàn phím cơ ASUS Strix Flare (Fullsize/Cherry MX Red)",3990000.0,"",7095152,50,2,2,NULL,NULL
